index,countryenc,priceenc,pointsenc,region_1enc,reviewenc,user_nameenc,provinceenc,wineryenc,countryenc + priceenc,pointsenc + user_nameenc,region_1enc + user_nameenc,pointsenc + region_1enc,priceenc + provinceenc,reviewenc + wineryenc,region_1enc + reviewenc,countryenc + provinceenc,provinceenc + user_nameenc,countryenc + pointsenc,countryenc + user_nameenc,priceenc + user_nameenc,region_1enc + wineryenc,pointsenc + provinceenc,provinceenc + wineryenc,priceenc + wineryenc,provinceenc + reviewenc,provinceenc + region_1enc,countryenc + wineryenc,countryenc + reviewenc,priceenc + reviewenc,user_nameenc + wineryenc,pointsenc + priceenc,pointsenc + wineryenc,pointsenc + reviewenc,countryenc + region_1enc,priceenc + region_1enc,reviewenc + user_nameenc,countryenc * priceenc,pointsenc * user_nameenc,region_1enc * user_nameenc,pointsenc * region_1enc,priceenc * provinceenc,reviewenc * wineryenc,region_1enc * reviewenc,countryenc * provinceenc,provinceenc * user_nameenc,countryenc * pointsenc,countryenc * user_nameenc,priceenc * user_nameenc,region_1enc * wineryenc,pointsenc * provinceenc,provinceenc * wineryenc,priceenc * wineryenc,provinceenc * reviewenc,provinceenc * region_1enc,countryenc * wineryenc,countryenc * reviewenc,priceenc * reviewenc,user_nameenc * wineryenc,pointsenc * priceenc,pointsenc * wineryenc,pointsenc * reviewenc,countryenc * region_1enc,priceenc * region_1enc,reviewenc * user_nameenc,variety
13,6,24,8,414,1,6,7,2740,30,14,420,422,31,2741,415,13,13,14,12,30,3154,15,2747,2764,8,421,2746,7,25,2746,32,2748,9,420,438,7,144,48,2484,3312,168,2740,414,42,42,48,36,144,1134360,56,19180,65760,7,2898,16440,6,24,16440,192,21920,8,2484,9936,6,Red Blend
14,6,26,9,159,1,7,50,3797,32,16,166,168,76,3798,160,56,57,15,13,33,3956,59,3847,3823,51,209,3803,7,27,3804,35,3806,10,165,185,8,156,63,1113,1431,1300,3797,159,300,350,54,42,182,603723,450,189850,98722,50,7950,22782,6,26,26579,234,34173,9,954,4134,7,Cabernet Sauvignon
15,3,184,15,78,2,10,6,3828,187,25,88,93,190,3830,80,9,16,18,13,194,3906,21,3834,4012,8,84,3831,5,186,3838,199,3843,17,81,262,12,552,150,780,1170,1104,7656,156,18,60,45,30,1840,298584,90,22968,704352,12,468,11484,6,368,38280,2760,57420,30,234,14352,20,Red Blend
16,6,26,11,645,1,7,32,3268,32,18,652,656,58,3269,646,38,39,17,13,33,3913,43,3300,3294,33,677,3274,7,27,3275,37,3279,12,651,671,8,156,77,4515,7095,832,3268,645,192,224,66,42,182,2107860,352,104576,84968,32,20640,19608,6,26,22876,286,35948,11,3870,16770,7,Red Blend
17,5,7,2,459,0,12,28,1763,12,14,471,461,35,1763,459,33,40,7,17,19,2222,30,1791,1770,28,487,1768,5,7,1775,9,1765,2,464,466,12,35,24,5508,918,196,0,0,140,336,10,60,84,809217,56,49364,12341,0,12852,8815,0,0,21156,14,3526,0,2295,3213,0,Red Blend
18,3,7,7,419,1,5,17,3277,10,12,424,426,24,3278,420,20,22,10,8,12,3696,24,3294,3284,18,436,3280,4,8,3282,14,3284,8,422,426,6,21,35,2095,2933,119,3277,419,51,85,21,15,35,1373063,119,55709,22939,17,7123,9831,3,7,16385,49,22939,7,1257,2933,5,Red Blend
19,6,46,7,5,1,9,7,3578,52,16,14,12,53,3579,6,13,16,13,15,55,3583,14,3585,3624,8,12,3584,7,47,3587,53,3585,8,11,51,10,276,63,45,35,322,3578,5,42,63,42,54,414,17890,49,25046,164588,7,35,21468,6,46,32202,322,25046,7,30,230,9,Pinot Noir
20,3,15,7,382,1,10,6,4037,18,17,392,389,21,4038,383,9,16,10,13,25,4419,13,4043,4052,7,388,4040,4,16,4047,22,4044,8,385,397,11,45,70,3820,2674,90,4037,382,18,60,21,30,150,1542134,42,24222,60555,6,2292,12111,3,15,40370,105,28259,7,1146,5730,10,Red Blend
21,6,16,6,539,0,9,7,1831,22,15,548,545,23,1831,539,13,16,12,15,25,2370,13,1838,1847,7,546,1837,6,16,1840,22,1837,6,545,555,9,96,54,4851,3234,112,0,0,42,63,36,54,144,986909,42,12817,29296,0,3773,10986,0,0,16479,96,10986,0,3234,8624,0,Chardonnay
22,6,54,11,159,1,11,50,664,60,22,170,170,104,665,160,56,61,17,17,65,823,61,714,718,51,209,670,7,55,675,65,675,12,165,213,12,324,121,1749,1749,2700,664,159,300,550,66,66,594,105576,550,33200,35856,50,7950,3984,6,54,7304,594,7304,11,954,8586,11,Syrah
23,6,81,12,642,1,11,50,4247,87,23,653,654,131,4248,643,56,61,18,17,92,4889,62,4297,4328,51,692,4253,7,82,4258,93,4259,13,648,723,12,486,132,7062,7704,4050,4247,642,300,550,72,66,891,2726574,600,212350,344007,50,32100,25482,6,81,46717,972,50964,12,3852,52002,11,Syrah
24,4,41,8,152,1,4,27,3543,45,12,156,160,68,3544,153,31,31,12,8,45,3695,35,3570,3584,28,179,3547,5,42,3547,49,3551,9,156,193,5,164,32,608,1216,1107,3543,152,108,108,32,16,164,538536,216,95661,145263,27,4104,14172,4,41,14172,328,28344,8,608,6232,4,Red Blend
25,4,181,9,76,1,4,46,4386,185,13,80,85,227,4387,77,50,50,13,8,185,4462,55,4432,4567,47,122,4390,5,182,4390,190,4395,10,80,257,5,724,36,304,684,8326,4386,76,184,184,36,16,724,333336,414,201756,793866,46,3496,17544,4,181,17544,1629,39474,9,304,13756,4,Red Blend
26,3,71,11,49,1,10,6,2026,74,21,59,60,77,2027,50,9,16,14,13,81,2075,17,2032,2097,7,55,2029,4,72,2036,82,2037,12,52,120,11,213,110,490,539,426,2026,49,18,60,33,30,710,99274,66,12156,143846,6,294,6078,3,71,20260,781,22286,11,147,3479,10,Red Blend
27,6,16,8,303,1,3,7,4499,22,11,306,311,23,4500,304,13,10,14,9,19,4802,15,4506,4515,8,310,4505,7,17,4502,24,4507,9,309,319,4,96,24,909,2424,112,4499,303,42,21,48,18,48,1363197,56,31493,71984,7,2121,26994,6,16,13497,128,35992,8,1818,4848,3,Red Blend
28,6,61,12,404,1,9,7,327,67,21,413,416,68,328,405,13,16,18,15,70,731,19,334,388,8,411,333,7,62,336,73,339,13,410,465,10,366,108,3636,4848,427,327,404,42,63,72,54,549,132108,84,2289,19947,7,2828,1962,6,61,2943,732,3924,12,2424,24644,9,Cabernet Sauvignon
29,3,18,10,179,1,1,37,3617,21,11,180,189,55,3618,180,40,38,13,4,19,3796,47,3654,3635,38,216,3620,4,19,3618,28,3627,11,182,197,2,54,10,179,1790,666,3617,179,111,37,30,3,18,647443,370,133829,65106,37,6623,10851,3,18,3617,180,36170,10,537,3222,1,Red Blend
30,5,11,8,461,1,12,28,5016,16,20,473,469,39,5017,462,33,40,13,17,23,5477,36,5044,5027,29,489,5021,6,12,5028,19,5024,9,466,472,13,55,96,5532,3688,308,5016,461,140,336,40,60,132,2312376,224,140448,55176,28,12908,25080,5,11,60192,88,40128,8,2305,5071,12,Red Blend
31,6,24,11,539,1,9,7,3041,30,20,548,550,31,3042,540,13,16,17,15,33,3580,18,3048,3065,8,546,3047,7,25,3050,35,3052,12,545,563,10,144,99,4851,5929,168,3041,539,42,63,66,54,216,1639099,77,21287,72984,7,3773,18246,6,24,27369,264,33451,11,3234,12936,9,Cabernet Sauvignon
32,6,51,10,20,1,3,7,2573,57,13,23,30,58,2574,21,13,10,16,9,54,2593,17,2580,2624,8,27,2579,7,52,2576,61,2583,11,26,71,4,306,30,60,200,357,2573,20,42,21,60,18,153,51460,70,18011,131223,7,140,15438,6,51,7719,510,25730,10,120,1020,3,Pinot Noir
33,3,86,15,10,2,0,0,2055,89,15,10,25,86,2057,12,3,0,18,3,86,2065,15,2055,2141,2,10,2058,5,88,2055,101,2070,17,13,96,2,258,0,0,150,0,4110,20,0,0,45,0,0,20550,0,0,176730,0,0,6165,6,172,0,1290,30825,30,30,860,0,Chardonnay
34,6,60,15,515,2,6,7,3716,66,21,521,530,67,3718,517,13,13,21,12,66,4231,22,3723,3776,9,522,3722,8,62,3722,75,3731,17,521,575,8,360,90,3090,7725,420,7432,1030,42,42,90,36,360,1913740,105,26012,222960,14,3605,22296,12,120,22296,900,55740,30,3090,30900,12,Cabernet Sauvignon
35,6,14,8,388,1,9,7,3816,20,17,397,396,21,3817,389,13,16,14,15,23,4204,15,3823,3830,8,395,3822,7,15,3825,22,3824,9,394,402,10,84,72,3492,3104,98,3816,388,42,63,48,54,126,1480608,56,26712,53424,7,2716,22896,6,14,34344,112,30528,8,2328,5432,9,Cabernet Sauvignon
36,3,81,12,346,1,10,6,3357,84,22,356,358,87,3358,347,9,16,15,13,91,3703,18,3363,3438,7,352,3360,4,82,3367,93,3369,13,349,427,11,243,120,3460,4152,486,3357,346,18,60,36,30,810,1161522,72,20142,271917,6,2076,10071,3,81,33570,972,40284,12,1038,28026,10,Red Blend
37,6,38,6,281,0,11,50,81,44,17,292,287,88,81,281,56,61,12,17,49,362,56,131,119,50,331,87,6,38,92,44,87,6,287,319,11,228,66,3091,1686,1900,0,0,300,550,36,66,418,22761,300,4050,3078,0,14050,486,0,0,891,228,486,0,1686,10678,0,Chardonnay
38,6,44,11,229,1,7,32,258,50,18,236,240,76,259,230,38,39,17,13,51,487,43,290,302,33,261,264,7,45,265,55,269,12,235,273,8,264,77,1603,2519,1408,258,229,192,224,66,42,308,59082,352,8256,11352,32,7328,1548,6,44,1806,484,2838,11,1374,10076,7,Chardonnay
39,3,11,6,134,0,10,19,2168,14,16,144,140,30,2168,134,22,29,9,13,21,2302,25,2187,2179,19,153,2171,3,11,2178,17,2174,6,137,145,10,33,60,1340,804,209,0,0,57,190,18,30,110,290512,114,41192,23848,0,2546,6504,0,0,21680,66,13008,0,402,1474,0,Pinot Noir
40,6,48,15,478,2,9,7,5217,54,24,487,493,55,5219,480,13,16,21,15,57,5695,22,5224,5265,9,485,5223,8,50,5226,63,5232,17,484,526,11,288,135,4302,7170,336,10434,956,42,63,90,54,432,2493726,105,36519,250416,14,3346,31302,12,96,46953,720,78255,30,2868,22944,18,Cabernet Sauvignon
41,3,36,9,496,1,10,4,1003,39,19,506,505,40,1004,497,7,14,12,13,46,1499,13,1007,1039,5,500,1006,4,37,1013,45,1012,10,499,532,11,108,90,4960,4464,144,1003,496,12,40,27,30,360,497488,36,4012,36108,4,1984,3009,3,36,10030,324,9027,9,1488,17856,10,Bordeaux-style White Blend
42,3,14,9,10,1,0,0,819,17,9,10,19,14,820,11,3,0,12,3,14,829,9,819,833,1,10,822,4,15,819,23,828,10,13,24,1,42,0,0,90,0,819,10,0,0,27,0,0,8190,0,0,11466,0,0,2457,3,14,0,126,7371,9,30,140,0,Chardonnay
43,6,36,3,538,0,9,7,716,42,12,547,541,43,716,538,13,16,9,15,45,1254,10,723,752,7,545,722,6,36,725,39,719,3,544,574,9,216,27,4842,1614,252,0,0,42,63,18,54,324,385208,21,5012,25776,0,3766,4296,0,0,6444,108,2148,0,3228,19368,0,Chardonnay
44,6,22,12,645,1,7,32,4616,28,19,652,657,54,4617,646,38,39,18,13,29,5261,44,4648,4638,33,677,4622,7,23,4623,34,4628,13,651,667,8,132,84,4515,7740,704,4616,645,192,224,72,42,154,2977320,384,147712,101552,32,20640,27696,6,22,32312,264,55392,12,3870,14190,7,Cabernet Sauvignon
45,4,71,7,76,1,4,46,1613,75,11,80,83,117,1614,77,50,50,11,8,75,1689,53,1659,1684,47,122,1617,5,72,1617,78,1620,8,80,147,5,284,28,304,532,3266,1613,76,184,184,28,16,284,122588,322,74198,114523,46,3496,6452,4,71,6452,497,11291,7,304,5396,4,Red Blend
46,6,24,9,513,1,6,7,4579,30,15,519,522,31,4580,514,13,13,15,12,30,5092,16,4586,4603,8,520,4585,7,25,4585,33,4588,10,519,537,7,144,54,3078,4617,168,4579,513,42,42,54,36,144,2349027,63,32053,109896,7,3591,27474,6,24,27474,216,41211,9,3078,12312,6,Cabernet Sauvignon
47,6,51,10,316,1,3,7,1769,57,13,319,326,58,1770,317,13,10,16,9,54,2085,17,1776,1820,8,323,1775,7,52,1772,61,1779,11,322,367,4,306,30,948,3160,357,1769,316,42,21,60,18,153,559004,70,12383,90219,7,2212,10614,6,51,5307,510,17690,10,1896,16116,3,Red Blend
48,4,37,8,572,1,4,46,4367,41,12,576,580,83,4368,573,50,50,12,8,41,4939,54,4413,4404,47,618,4371,5,38,4371,45,4375,9,576,609,5,148,32,2288,4576,1702,4367,572,184,184,32,16,148,2497924,368,200882,161579,46,26312,17468,4,37,17468,296,34936,8,2288,21164,4,Red Blend
49,6,36,9,453,1,11,50,4591,42,20,464,462,86,4592,454,56,61,15,17,47,5044,59,4641,4627,51,503,4597,7,37,4602,45,4600,10,459,489,12,216,99,4983,4077,1800,4591,453,300,550,54,66,396,2079723,450,229550,165276,50,22650,27546,6,36,50501,324,41319,9,2718,16308,11,Red Blend
50,6,14,7,513,1,6,7,4418,20,13,519,520,21,4419,514,13,13,13,12,20,4931,14,4425,4432,8,520,4424,7,15,4424,21,4425,8,519,527,7,84,42,3078,3591,98,4418,513,42,42,42,36,84,2266434,49,30926,61852,7,3591,26508,6,14,26508,98,30926,7,3078,7182,6,Red Blend
51,6,91,15,538,2,9,7,5217,97,24,547,553,98,5219,540,13,16,21,15,100,5755,22,5224,5308,9,545,5223,8,93,5226,106,5232,17,544,629,11,546,135,4842,8070,637,10434,1076,42,63,90,54,819,2806746,105,36519,474747,14,3766,31302,12,182,46953,1365,78255,30,3228,48958,18,Cabernet Sauvignon
52,6,14,8,159,1,7,50,283,20,15,166,167,64,284,160,56,57,14,13,21,442,58,333,297,51,209,289,7,15,290,22,291,9,165,173,8,84,56,1113,1272,700,283,159,300,350,48,42,98,44997,400,14150,3962,50,7950,1698,6,14,1981,112,2264,8,954,2226,7,Chardonnay
53,6,41,1,645,0,7,32,4990,47,8,652,646,73,4990,645,38,39,7,13,48,5635,33,5022,5031,32,677,4996,6,41,4997,42,4991,1,651,686,7,246,7,4515,645,1312,0,0,192,224,6,42,287,3218550,32,159680,204590,0,20640,29940,0,0,34930,41,4990,0,3870,26445,0,Pinot Noir
54,3,10,8,182,1,10,36,3299,13,18,192,190,46,3300,183,39,46,11,13,20,3481,44,3335,3309,37,218,3302,4,11,3309,18,3307,9,185,192,11,30,80,1820,1456,360,3299,182,108,360,24,30,100,600418,288,118764,32990,36,6552,9897,3,10,32990,80,26392,8,546,1820,10,Red Blend
55,6,41,7,5,1,9,7,1728,47,16,14,12,48,1729,6,13,16,13,15,50,1733,14,1735,1769,8,12,1734,7,42,1737,48,1735,8,11,46,10,246,63,45,35,287,1728,5,42,63,42,54,369,8640,49,12096,70848,7,35,10368,6,41,15552,287,12096,7,30,205,9,Pinot Noir
56,6,21,10,159,1,11,50,209,27,21,170,169,71,210,160,56,61,16,17,32,368,60,259,230,51,209,215,7,22,220,31,219,11,165,180,12,126,110,1749,1590,1050,209,159,300,550,60,66,231,33231,500,10450,4389,50,7950,1254,6,21,2299,210,2090,10,954,3339,11,Chardonnay
57,3,39,9,221,1,5,17,2120,42,14,226,230,56,2121,222,20,22,12,8,44,2341,26,2137,2159,18,238,2123,4,40,2125,48,2129,10,224,260,6,117,45,1105,1989,663,2120,221,51,85,27,15,195,468520,153,36040,82680,17,3757,6360,3,39,10600,351,19080,9,663,8619,5,Red Blend
58,3,36,9,189,1,0,0,819,39,9,189,198,36,820,190,3,0,12,3,36,1008,9,819,855,1,189,822,4,37,819,45,828,10,192,225,1,108,0,0,1701,0,819,189,0,0,27,0,0,154791,0,0,29484,0,0,2457,3,36,0,324,7371,9,567,6804,0,Red Blend
59,6,25,8,234,1,9,7,836,31,17,243,242,32,837,235,13,16,14,15,34,1070,15,843,861,8,241,842,7,26,845,33,844,9,240,259,10,150,72,2106,1872,175,836,234,42,63,48,54,225,195624,56,5852,20900,7,1638,5016,6,25,7524,200,6688,8,1404,5850,9,Chardonnay
60,6,50,11,538,1,9,7,3415,56,20,547,549,57,3416,539,13,16,17,15,59,3953,18,3422,3465,8,545,3421,7,51,3424,61,3426,12,544,588,10,300,99,4842,5918,350,3415,538,42,63,66,54,450,1837270,77,23905,170750,7,3766,20490,6,50,30735,550,37565,11,3228,26900,9,Cabernet Sauvignon
61,3,119,13,402,1,10,6,3356,122,23,412,415,125,3357,403,9,16,16,13,129,3758,19,3362,3475,7,408,3359,4,120,3366,132,3369,14,405,521,11,357,130,4020,5226,714,3356,402,18,60,39,30,1190,1349112,78,20136,399364,6,2412,10068,3,119,33560,1547,43628,13,1206,47838,10,Red Blend
62,3,34,8,384,1,10,4,1571,37,18,394,392,38,1572,385,7,14,11,13,44,1955,12,1575,1605,5,388,1574,4,35,1581,42,1579,9,387,418,11,102,80,3840,3072,136,1571,384,12,40,24,30,340,603264,32,6284,53414,4,1536,4713,3,34,15710,272,12568,8,1152,13056,10,Bordeaux-style White Blend
63,4,86,14,76,2,4,46,492,90,18,80,90,132,494,78,50,50,18,8,90,568,60,538,578,48,122,496,6,88,496,100,506,16,80,162,6,344,56,304,1064,3956,984,152,184,184,56,16,344,37392,644,22632,42312,92,3496,1968,8,172,1968,1204,6888,28,304,6536,8,Red Blend
64,6,54,9,159,1,11,50,1803,60,20,170,168,104,1804,160,56,61,15,17,65,1962,59,1853,1857,51,209,1809,7,55,1814,63,1812,10,165,213,12,324,99,1749,1431,2700,1803,159,300,550,54,66,594,286677,450,90150,97362,50,7950,10818,6,54,19833,486,16227,9,954,8586,11,Syrah
65,4,11,8,474,1,4,46,3106,15,12,478,482,57,3107,475,50,50,12,8,15,3580,54,3152,3117,47,520,3110,5,12,3110,19,3114,9,478,485,5,44,32,1896,3792,506,3106,474,184,184,32,16,44,1472244,368,142876,34166,46,21804,12424,4,11,12424,88,24848,8,1896,5214,4,Red Blend
66,5,58,13,461,1,12,28,4405,63,25,473,474,86,4406,462,33,40,18,17,70,4866,41,4433,4463,29,489,4410,6,59,4417,71,4418,14,466,519,13,290,156,5532,5993,1624,4405,461,140,336,65,60,696,2030705,364,123340,255490,28,12908,22025,5,58,52860,754,57265,13,2305,26738,12,Red Blend
67,6,11,5,159,0,7,50,179,17,12,166,164,61,179,159,56,57,11,13,18,338,55,229,190,50,209,185,6,11,186,16,184,5,165,170,7,66,35,1113,795,550,0,0,300,350,30,42,77,28461,250,8950,1969,0,7950,1074,0,0,1253,55,895,0,954,1749,0,Chardonnay
68,1,21,10,335,1,1,39,362,22,11,336,345,60,363,336,40,40,11,2,22,697,49,401,383,40,374,363,2,22,363,31,372,11,336,356,2,21,10,335,3350,819,362,335,39,39,10,1,21,121270,390,14118,7602,39,13065,362,1,21,362,210,3620,10,335,7035,1,Red Blend
69,3,16,8,189,1,10,0,2990,19,18,199,197,16,2991,190,3,10,11,13,26,3179,8,2990,3006,1,189,2993,4,17,3000,24,2998,9,192,205,11,48,80,1890,1512,0,2990,189,0,0,24,30,160,565110,0,0,47840,0,0,8970,3,16,29900,128,23920,8,567,3024,10,Bordeaux-style White Blend
70,6,46,12,516,1,6,7,3379,52,18,522,528,53,3380,517,13,13,18,12,52,3895,19,3386,3425,8,523,3385,7,47,3385,58,3391,13,522,562,7,276,72,3096,6192,322,3379,516,42,42,72,36,276,1743564,84,23653,155434,7,3612,20274,6,46,20274,552,40548,12,3096,23736,6,Cabernet Sauvignon
71,1,28,10,2,1,1,39,1782,29,11,3,12,67,1783,3,40,40,11,2,29,1784,49,1821,1810,40,41,1783,2,29,1783,38,1792,11,3,30,2,28,10,2,20,1092,1782,2,39,39,10,1,28,3564,390,69498,49896,39,78,1782,1,28,1782,280,17820,10,2,56,1,Chardonnay
72,6,10,8,340,1,3,7,4511,16,11,343,348,17,4512,341,13,10,14,9,13,4851,15,4518,4521,8,347,4517,7,11,4514,18,4519,9,346,350,4,60,24,1020,2720,70,4511,340,42,21,48,18,30,1533740,56,31577,45110,7,2380,27066,6,10,13533,80,36088,8,2040,3400,3,Red Blend
73,3,48,8,116,1,10,11,490,51,18,126,124,59,491,117,14,21,11,13,58,606,19,501,538,12,127,493,4,49,500,56,498,9,119,164,11,144,80,1160,928,528,490,116,33,110,24,30,480,56840,88,5390,23520,11,1276,1470,3,48,4900,384,3920,8,348,5568,10,Red Blend
74,6,31,11,236,1,7,32,4265,37,18,243,247,63,4266,237,38,39,17,13,38,4501,43,4297,4296,33,268,4271,7,32,4272,42,4276,12,242,267,8,186,77,1652,2596,992,4265,236,192,224,66,42,217,1006540,352,136480,132215,32,7552,25590,6,31,29855,341,46915,11,1416,7316,7,Cabernet Sauvignon
75,4,156,11,76,1,4,46,788,160,15,80,87,202,789,77,50,50,15,8,160,864,57,834,944,47,122,792,5,157,792,167,799,12,80,232,5,624,44,304,836,7176,788,76,184,184,44,16,624,59888,506,36248,122928,46,3496,3152,4,156,3152,1716,8668,11,304,11856,4,Red Blend
76,3,11,5,613,0,10,13,3405,14,15,623,618,24,3405,613,16,23,8,13,21,4018,18,3418,3416,13,626,3408,3,11,3415,16,3410,5,616,624,10,33,50,6130,3065,143,0,0,39,130,15,30,110,2087265,65,44265,37455,0,7969,10215,0,0,34050,55,17025,0,1839,6743,0,Pinot Noir
77,3,62,12,116,1,10,11,2951,65,22,126,128,73,2952,117,14,21,15,13,72,3067,23,2962,3013,12,127,2954,4,63,2961,74,2963,13,119,178,11,186,120,1160,1392,682,2951,116,33,110,36,30,620,342316,132,32461,182962,11,1276,8853,3,62,29510,744,35412,12,348,7192,10,Red Blend
78,3,26,12,10,1,0,0,2195,29,12,10,22,26,2196,11,3,0,15,3,26,2205,12,2195,2221,1,10,2198,4,27,2195,38,2207,13,13,36,1,78,0,0,120,0,2195,10,0,0,36,0,0,21950,0,0,57070,0,0,6585,3,26,0,312,26340,12,30,260,0,Chardonnay
79,6,61,8,516,1,6,7,4705,67,14,522,524,68,4706,517,13,13,14,12,67,5221,15,4712,4766,8,523,4711,7,62,4711,69,4713,9,522,577,7,366,48,3096,4128,427,4705,516,42,42,48,36,366,2427780,56,32935,287005,7,3612,28230,6,61,28230,488,37640,8,3096,31476,6,Cabernet Sauvignon
80,6,76,14,229,2,7,32,4575,82,21,236,243,108,4577,231,38,39,20,13,83,4804,46,4607,4651,34,261,4581,8,78,4582,90,4589,16,235,305,9,456,98,1603,3206,2432,9150,458,192,224,84,42,532,1047675,448,146400,347700,64,7328,27450,12,152,32025,1064,64050,28,1374,17404,14,Syrah
